record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
78 78 29.94 0:00:00:02.363/600 0:00:00:02.343/600 193.54 245.93 219.38 108.43 -1000.00 -1000.00 40.00 42.00 
79 79 29.94 0:00:00:02.383/600 0:00:00:02.363/600 193.33 246.56 219.46 108.58 -1000.00 -1000.00 40.00 42.00 
80 80 29.94 0:00:00:02.403/600 0:00:00:02.383/600 193.16 247.00 219.52 108.68 -1000.00 -1000.00 40.00 42.00 
81 81 29.94 0:00:00:02.423/600 0:00:00:02.403/600 193.18 246.92 219.51 108.66 -1000.00 -1000.00 40.00 41.00 
82 82 29.95 0:00:00:02.443/600 0:00:00:02.423/600 193.23 246.81 219.50 108.64 -1000.00 -1000.00 40.00 42.00 
83 83 29.95 0:00:00:02.463/600 0:00:00:02.443/600 193.26 246.57 219.48 108.58 -1000.00 -1000.00 40.00 40.00 
84 84 29.95 0:00:00:02.483/600 0:00:00:02.463/600 198.25 243.95 218.05 107.97 -1000.00 -1000.00 37.00 40.00 
85 85 29.95 0:00:00:02.503/600 0:00:00:02.483/600 216.87 235.35 212.76 105.98 -1000.00 -1000.00 43.00 40.00 
86 86 29.95 0:00:00:02.523/600 0:00:00:02.503/600 236.11 226.66 207.28 103.96 -1000.00 -1000.00 42.00 39.00 
87 87 29.95 0:00:00:02.543/600 0:00:00:02.523/600 255.51 218.04 201.75 101.96 -1000.00 -1000.00 43.00 40.00 
88 88 29.95 0:00:00:02.563/600 0:00:00:02.543/600 270.09 211.72 197.58 100.48 -1000.00 -1000.00 43.00 40.00 
89 89 29.95 0:00:00:02.583/600 0:00:00:02.563/600 271.33 211.28 197.23 100.38 -1000.00 -1000.00 42.00 39.00 
90 90 29.95 0:00:00:03.03/600 0:00:00:02.583/600 271.98 210.99 197.04 100.31 -1000.00 -1000.00 42.00 39.00 
91 91 29.95 0:00:00:03.23/600 0:00:00:03.03/600 272.44 210.80 196.91 100.27 -1000.00 -1000.00 42.00 39.00 
92 92 29.95 0:00:00:03.43/600 0:00:00:03.23/600 272.71 210.64 196.83 100.23 -1000.00 -1000.00 42.00 39.00 
